IBD_DN,IBD_UP
CCDC79,IGDCC4
THAP4,FOXI1
C12orf29,EPB41L5
TEX10,TMEM179
OPN3,GGT6
HMCES,ANXA5
MAGEB5,SLPI
CTNNBL1,ARHGEF11
CBX7,TCF4
PPIL1,ABHD17C
UTP15,NNMT
RBM3,GIMAP4
TOP3A,FXYD4
CAMKK1,SH3GL2
DUSP5P1,TPRXL
CCDC138,LAPTM4A
OARD1,FAR1
CD244,CCNA1
ADA,HLA-L
RUVBL1,PABPC3
APOH,OR5C1
AGBL3,H2BFM
GFRAL,C17orf99
VASP,MMP25
TRNAU1AP,LTBP4
LSG1,ADRA2C
NUP93,TOPAZ1
PGP,GPRIN2
SLC25A12,AMN
ZNF682,MNDA
NELL2,NFIL3
SCARNA6,MBTPS1
DDX28,UBE2B
RNASET2,UBE2Q1
URB1,TMEM121
ZNF726,SULT1B1
MERTK,SLC2A4
AKR7A2,MFAP3
WDR82,GPR37L1
CFHR1,LOC100132731
SNORD114-6,SUSD2
MIR200A,SDC2
GPA33,RBFOX3
ICE2,GPR148
DBT,GSR
AGTR2,DDIAS
MXI1,SLC4A11
FAM179B,IER2
MRPL24,TINAGL1
QIQN5815,HBS1L
ILKAP,SLURP1
HIST3H2A,LCN1
ZWILCH,SP110
RNU6-75P,SNUPN
CSPP1,LILRA3
RPIA,CD59
WDR48,SP3P
VSIG1,LOC101928841
FAM35A,MIR30C2
WRN,CITED2
OR56A3,CYBB
ALKBH8,GCGR
TIMM13,FAM47B
SIRT3,LOC646813
ZNF287,ASPH
MTCH1,CLEC6A
MALT1,HTR1E
OR1L3,SSFA2
PPM1L,DNAH6
C6orf165,XRN2
LIG1,ADORA2A-AS1
NARS2,ZIC2
ADAL,SNRK
PUS7,KCNIP3
FANCM,PRX
ZNF860,TP73-AS1
MCM3,KDM7A
CDKL4,CAMK2D
HSD17B8,SLC6A9
NDUFA4,PPP2R5B
FGG,KRTAP5-1
MAPKAPK5-AS1,NGB
MCMDC2,MLLT4-AS1
PPEF1,LILRA2
TXN2,LRRC26
SLC35F2,IGSF6
CNBD1,DYRK1A
WEE1,SLITRK4
S100G,LCN12
RSAD1,ZDHHC2
UBAP2,RLIM
TMEM211,FOXC2
MIRLET7E,TTC36
DYRK2,ZNRF2P1
PRADC1,USP25
SCARNA23,PKD2L1
CD300LF,CCNO
UBE2T,KLHDC7B
TP53TG1,ADAM10
COLGALT2,BRICD5
CLTCL1,IQCE
DNPH1,ZNF24
MAPRE1,GJD4
ASB2,SLC22A4
SULT2A1,GALNT3
PAGE2,SMIM10
TRIM65,KLF3-AS1
PRPSAP2,PIAS4
SNORD63,EVI2B
BNC2,ERLEC1
OR5T3,MOSPD2
WDR72,CENPM
PLCG1,CPT1A
SLC12A2,ENPP2
SNORD8,JARID2
BZW2,LOC399900
TACR3,SRD5A1
POLR1E,ABCA1
PIH1D2,PDZD8
CCDC88C,HIST2H4B
TSPYL2,HIST2H4A
VARS,EME2
TMEM42,JAK2
CAD,ADAMTSL4-AS1
SLC4A10,ANXA2P2
MIR1-1,UBA3
MRO,RND2
SESN3,KRTAP10-9
C16orf74,RECQL4
ZNF780B,NRN1L
BACE2,GGTLC2
SLC25A6,HGF
APOC1,ENTPD8
MIR100,FCAR
PTGES,TREML4
RNF182,VAX2
PDE6C,COL22A1
RNU6-78P,RHBDF1
TTK,USHBP1
LINC00888,GBP5
IFNLR1,MNT
RPS19,EVC
YDJC,USP6NL
RPL10A,LIM2
MS4A2,RAX
EOMES,ABLIM3
DNASE1L3,VSTM2L
COMT,EGR1
SIGIRR,OGDHL
ICAM3,GALNT14
TYSND1,MIR147A
MIR495,ATP8B4
DARS2,MEGF9
IFT43,ATP1B3
SNORD114-3,SPSB1
MEAF6,NACC2
CFHR3,LPXN
SLC25A45,CHMP4B
C20orf173,C9orf172
PTPN6,KIAA0895L
IDH2,IRS2
MRPS18B,GNG5
PMM2,PKN3
SH2D2A,UHRF1BP1L
XCL2,ABCC8
SEC1P,KIAA2013
ZZZ3,UBE2V1
LAS1L,BATF
PTPN7,ROM1
MCOLN2,SYT12
LMNB2,ITGB4
LGSN,FAM83E
IPO4,ATG3
DDX53,SRPK3
POLL,C4orf50
ENPP5,CLIC4
LRRC25,MIR204
Sep-01,SLC26A1
ZNF827,TMEM180
WDR18,PRLH
TTC9,COL24A1
RBM24,TNIP1
SPO11,ATP4B
NUDT6,YIPF1
IL7R,PAFAH1B2
TMEM150A,CES2
EIF3K,BAGE
SACS,SLED1
FTMT,LOC101927789
PSMG3,PLEKHN1
C12orf45,OTUD7A
RASL11B,SORT1
CDCA8,LACTB
ATP5L,SLC16A7
RPP14,SPRR1B
PTPN13,HIAT1
RANGAP1,HIVEP2
PIK3C2B,MAGI1
RTN4IP1,IRAK4
NUDT16L1,HIST1H4D
LRRC2-AS1,KCNJ2
VWA8,TPRX1
NRIP2,ATG13
HSPA9,SLC6A3
UBAC1,KIAA1549
CHD6,KRT84
LDHD,PRR36
RRP15,SEPT5-GP1BB
CACNA1D,YPEL2
TRIM61,PRSS41
NUFIP1,CHD7
ETV5,FBXL19
PIK3IP1,KIAA2018
PITHD1,FAM163B
PKD2L2,OR10C1
DNAJA3,LY6G5C
DTD1,MAP6D1
LINC00216,MYRF
FLJ90680,LMNTD2
RASGRF1,C16orf59
FOXN3-AS2,HDAC7
PER3,SIRPD
POLE2,OCSTAMP
IFT88,SLC6A8
ESCO2,IL17A
RAB3D,KRT81
ZNF26,PRRG4
SLC25A33,NUDT9P1
HYLS1,GDF7
NAB2,C20orf181
TC2N,CCNY
MAP3K4,XAGE3
PASD1,NKX3-1
EFHC2,DENND5A
CCT6B,PTBP3
TMEM104,TNRC18
MYB,COQ10B
ARL4C,Sep-06
DDAH1,IFNAR2
PTCD2,LINC00896
CCNB1,MAGI3
DPCD,TMEM239
TM4SF18,GRINA
SLC1A5,COL1A1
C7orf72,RAB21
PRMT3,AIRE
OR7A5,GMPR2
PDRG1,BOLA3
SETBP1,POU3F3
TSPAN4,LIMK2
ENPP3,NKX6-3
OR1C1,CUL1
SCN7A,SNORA35
RPAP2,FBXL15
VMA21,LCN2
SORBS3,FBLN7
CASC1,CCNK
TCTN3,TMBIM4
PDXK,PRR14L
STPG2,GDE1
MIR129-2,BAZ2A
TTC5,BATF2
CDKN1C,TGFBR2
SIRT5,MAT2B
MED20,IL15RA
MIR153-1,MIR134
DYNC2LI1,PCDHA7
COPS4,RAPSN
FAM200A,HIST1H2AJ
NAA25,TSPAN11
AP3M2,PIK3AP1
ATP5G3,B3GNT5
SLC16A1,KIAA0232
NFKBIE,ELN
ZIM3,RNF103
NME3,BMP2K
CYP24A1,SRF
CMTM3,SHH
SLC4A7,SIX6
WDFY2,AP3B1
PTGDR,GPR119
ASTE1,SLC31A1
NUP188,ARHGAP5
RPS19BP1,VSX2
PSRC1,NMNAT2
TUBGCP4,CIR1
SEH1L,NPDC1
CD4,IL10RB
ENC1,TRIB1
TLR10,NFKBIZ
CSE1L,BRD7
PRKCZ,AVIL
NOM1,NXF1
ELP5,UNCX
OR6K3,TMEM151B
CLEC17A,SH2D5
CHD1L,CD38
CHEK2,CRLF1
SF3B5,PLIN1
MRPS35,LGALS8
UBASH3A,GALR3
TMEM14C,FAM219A
ZNF85,ARHGEF39
RBFA,ABO
NDST4,MIR504
USO1,SNX3
CLPTM1L,DTX4
C6orf52,WNT4
SCARNA5,PITX1
IL17RB,PTPRO
ABHD6,NEK8
BTNL3,LINC01165
ZNF408,HIST1H1D
IMMP1L,HIST3H3
TMEM120A,MIR142
KAT2A,FA2H
TTL,NLRP6
LSM4,NBPF22P
GOT2,FOXB2
ACSS3,AFF1
ELOVL2-AS1,MKRN9P
CALHM2,NYX
PLEKHA1,FKBP15
SNORA49,SLC37A1
LGALS3,EAF1
SPARC,BTG2
IL31,NINL
APTX,TSKU
CROT,NOXO1
C1orf112,SCAPER
TMEM133,CYP1A2
ZNF483,PPARD
TRAPPC5,OR3A4P
P4HA1,RNF186
CCT7,GDPD3
TATDN2,CHPF
TRIO,AGPAT3
ELAC2,CCL3
MMS22L,PSG6
SLC5A3,FGF22
FAHD2A,SLC25A20
TRAIP,LRRN4
CCDC134,CA4
DNAJC11,LOC338797
SLC38A11,EFNA2
SMARCB1,CGRRF1
CD300LB,LINC00687
TCF19,TAS1R2
GRAP,SPTBN5
CATSPERD,CHRM4
PIAS2,OVOL3
ATG4B,MXRA7
ZNF295-AS1,TNFRSF4
